Name,Pot,Inoculation,Polyculture,Replicate,Water,Water_gal,Num_wheat_pot,Num_fava,hyphal_colonization,arb_vesc_colonization,Pot_NPP_g,Pot_NPP_g_pp,W_NPP,W_NPP_pp,W_BNPP_g,W_BNPP_g_pp,W_ANPP_g,W_ANPP_g_pp,W_Berries_g,W_Berries_g_pp,W_pcent_BNPP,W_pcent_ANPP,W_pcent_vegetative,W_pcent_berries,Pot_pcent_wheat,Fava_g,Pot_pcent_fava
29_Inoc_mono_s_4_BNPP,29,Inoc,Mono,4,Severe,16,12,0.00,0.75,0.38,22.86185,1.9052,22.86185,1.90515,5.4200,0.4517,15.6300,1.3025,1.8119,0.1510,0.2370762,0.6836717,0.9207479,0.0792521,1.0000000,0.0000,0.0000000
30_Inoc_mono_s_5_BNPP,30,Inoc,Mono,5,Severe,16,12,0.00,0.89,0.56,32.17808,2.6815,32.17808,2.68151,11.4300,0.9525,17.3000,1.4417,3.4481,0.2873,0.3552108,0.5376331,0.8928438,0.1071562,1.0000000,0.0000,0.0000000
31_Strl_inter_c_1_BNPP,31,Strl,Inter,1,Control,48,6,1.00,0.07,0.04,37.82494,5.4036,28.99247,4.83208,5.7200,0.9533,14.4400,2.4067,8.8325,1.4721,0.1972926,0.4980604,0.6953530,0.3046470,0.7664908,8.8325,0.2335092
32_Strl_inter_c_2_BNPP,32,Strl,Inter,2,Control,48,6,1.00,0.20,0.15,32.76662,4.6809,25.30331,4.21722,5.5000,0.9167,12.3400,2.0567,7.4633,1.2439,0.2173629,0.4876832,0.7050461,0.2949539,0.7722283,7.4633,0.2277717
33_Strl_inter_c_3_BNPP,33,Strl,Inter,3,Control,48,6,1.00,0.32,0.07,39.54720,5.6496,29.88360,4.98060,4.1600,0.6933,16.0600,2.6767,9.6636,1.6106,0.1392068,0.5374185,0.6766253,0.3233747,0.7556439,9.6636,0.2443561
34_Strl_inter_c_4_BNPP,34,Strl,Inter,4,Control,48,6,1.00,0.03,0.03,34.31068,4.9015,24.70534,4.11756,3.2500,0.5417,11.8500,1.9750,9.6053,1.6009,0.1315505,0.4796534,0.6112039,0.3887961,0.7200481,9.6053,0.2799519
35_Strl_inter_c_5_BNPP,35,Strl,Inter,5,Control,48,6,1.00,0.34,0.21,43.30530,6.1865,36.29765,6.04961,8.4200,1.4033,20.8700,3.4783,7.0077,1.1679,0.2319709,0.5749684,0.8069393,0.1930607,0.8381803,7.0077,0.1618197
36_Strl_inter_m_1_BNPP,36,Strl,Inter,1,Moderate,32,6,1.00,0.47,0.22,41.94174,5.9917,33.68587,5.61431,8.7000,1.4500,16.7300,2.7883,8.2559,1.3760,0.2582685,0.4966474,0.7549159,0.2450841,0.8031586,8.2559,0.1968414
37_Strl_inter_m_2_BNPP,37,Strl,Inter,2,Moderate,32,6,1.00,0.02,0.02,28.63824,4.0912,22.26912,3.71152,3.3800,0.5633,12.5200,2.0867,6.3691,1.0615,0.1517797,0.5622135,0.7139932,0.2860068,0.7776009,6.3691,0.2223991
38_Strl_inter_m_3_BNPP,38,Strl,Inter,3,Moderate,32,6,1.00,0.06,0.00,32.61874,4.6598,25.63937,4.27323,4.2300,0.7050,14.4300,2.4050,6.9794,1.1632,0.1649807,0.5628063,0.7277870,0.2722130,0.7860319,6.9794,0.2139681
39_Strl_inter_m_4_BNPP,39,Strl,Inter,4,Moderate,32,6,1.00,0.01,0.00,32.13598,4.5909,24.29799,4.04967,5.3200,0.8867,11.1400,1.8567,7.8380,1.3063,0.2189482,0.4584741,0.6774223,0.3225777,0.7560992,7.8380,0.2439008
40_Strl_inter_m_5_BNPP,40,Strl,Inter,5,Moderate,32,6,1.00,0.22,0.18,25.83022,3.6900,18.44511,3.07419,2.6600,0.4433,8.4000,1.4000,7.3851,1.2309,0.1442117,0.4554053,0.5996169,0.4003831,0.7140903,7.3851,0.2859097
41_Strl_inter_s_1_BNPP,41,Strl,Inter,1,Severe,16,6,1.00,0.00,0.00,28.66284,4.0947,24.18142,4.03024,6.1700,1.0283,13.5300,2.2550,4.4814,0.7469,0.2551546,0.5595205,0.8146751,0.1853249,0.8436505,4.4814,0.1563495
42_Strl_inter_s_2_BNPP,42,Strl,Inter,2,Severe,16,6,1.00,0.00,0.00,19.50324,2.7862,14.55662,2.42610,2.1400,0.3567,7.4700,1.2450,4.9466,0.8244,0.1470121,0.5131686,0.6601807,0.3398193,0.7463693,4.9466,0.2536307
43_Strl_inter_s_3_BNPP,43,Strl,Inter,3,Severe,16,6,1.00,0.29,0.02,19.52878,2.7898,18.02939,3.00490,4.9100,0.8183,11.6200,1.9367,1.4994,0.2499,0.2723331,0.6445032,0.9168363,0.0831637,0.9232215,1.4994,0.0767785
44_Strl_inter_s_4_BNPP,44,Strl,Inter,4,Severe,16,6,1.00,0.11,0.08,21.29982,3.0428,16.84991,2.80832,3.3300,0.5550,9.0700,1.5117,4.4499,0.7417,0.1976272,0.5382818,0.7359090,0.2640910,0.7910823,4.4499,0.2089177
