Name,Pot,Inoculation,Polyculture,Replicate,Water,Water_gal,Num_wheat_pot,Num_fava,hyphal_colonization,arb_vesc_colonization,NPP_g,NPP_g_pp,BNPP_g,BNPP_g_pp,ANPP_g,ANPP_g_pp,Berries_g,Berries_g_pp,Fava_g,percent_BNPP,percent_ANPP,percent_berries,percent_fava,Wheat_NPP,Wheat_NPP_pp,percent_wheat_NPP,percent_berries_of_wheat,percent_ANPP_of_wheat,percent_BNPP_of_wheat
30_Inoc_mono_s_5_BNPP,30,Inoc,Mono,5,Severe,16,12,0.00,0.89,0.56,32.17808,2.6815,11.4300,0.9525,17.3000,1.4417,3.4481,0.2873,0.0000,0.3552108,0.5376331,0.1071562,0.0000000,32.17808,2.68151,1.0000000,0.1071562,0.5376331,0.3552108
31_Strl_inter_c_1_BNPP,31,Strl,Inter,1,Control,48,6,1.00,0.07,0.04,37.82494,5.4036,5.7200,0.9533,14.4400,2.4067,8.8325,1.4721,8.8325,0.1512230,0.3817587,0.2335092,0.2335092,28.99247,4.83208,0.7664908,0.3046470,0.4980604,0.1972926
32_Strl_inter_c_2_BNPP,32,Strl,Inter,2,Control,48,6,1.00,0.20,0.15,32.76662,4.6809,5.5000,0.9167,12.3400,2.0567,7.4633,1.2439,7.4633,0.1678537,0.3766028,0.2277717,0.2277717,25.30331,4.21722,0.7722283,0.2949539,0.4876832,0.2173629
33_Strl_inter_c_3_BNPP,33,Strl,Inter,3,Control,48,6,1.00,0.32,0.07,39.54720,5.6496,4.1600,0.6933,16.0600,2.6767,9.6636,1.6106,9.6636,0.1051908,0.4060970,0.2443561,0.2443561,29.88360,4.98060,0.7556439,0.3233747,0.5374185,0.1392068
34_Strl_inter_c_4_BNPP,34,Strl,Inter,4,Control,48,6,1.00,0.03,0.03,34.31068,4.9015,3.2500,0.5417,11.8500,1.9750,9.6053,1.6009,9.6053,0.0947227,0.3453735,0.2799519,0.2799519,24.70534,4.11756,0.7200481,0.3887961,0.4796534,0.1315505
35_Strl_inter_c_5_BNPP,35,Strl,Inter,5,Control,48,6,1.00,0.34,0.21,43.30530,6.1865,8.4200,1.4033,20.8700,3.4783,7.0077,1.1679,7.0077,0.1944335,0.4819272,0.1618197,0.1618197,36.29765,6.04961,0.8381803,0.1930607,0.5749684,0.2319709
36_Strl_inter_m_1_BNPP,36,Strl,Inter,1,Moderate,32,6,1.00,0.47,0.22,41.94174,5.9917,8.7000,1.4500,16.7300,2.7883,8.2559,1.3760,8.2559,0.2074306,0.3988866,0.1968414,0.1968414,33.68587,5.61431,0.8031586,0.2450841,0.4966474,0.2582685
37_Strl_inter_m_2_BNPP,37,Strl,Inter,2,Moderate,32,6,1.00,0.02,0.02,28.63824,4.0912,3.3800,0.5633,12.5200,2.0867,6.3691,1.0615,6.3691,0.1180240,0.4371777,0.2223991,0.2223991,22.26912,3.71152,0.7776009,0.2860068,0.5622135,0.1517797
38_Strl_inter_m_3_BNPP,38,Strl,Inter,3,Moderate,32,6,1.00,0.06,0.00,32.61874,4.6598,4.2300,0.7050,14.4300,2.4050,6.9794,1.1632,6.9794,0.1296801,0.4423837,0.2139681,0.2139681,25.63937,4.27323,0.7860319,0.2722130,0.5628063,0.1649807
39_Strl_inter_m_4_BNPP,39,Strl,Inter,4,Moderate,32,6,1.00,0.01,0.00,32.13598,4.5909,5.3200,0.8867,11.1400,1.8567,7.8380,1.3063,7.8380,0.1655465,0.3466519,0.2439008,0.2439008,24.29799,4.04967,0.7560992,0.3225777,0.4584741,0.2189482
40_Strl_inter_m_5_BNPP,40,Strl,Inter,5,Moderate,32,6,1.00,0.22,0.18,25.83022,3.6900,2.6600,0.4433,8.4000,1.4000,7.3851,1.2309,7.3851,0.1029802,0.3252005,0.2859097,0.2859097,18.44511,3.07419,0.7140903,0.4003831,0.4554053,0.1442117
41_Strl_inter_s_1_BNPP,41,Strl,Inter,1,Severe,16,6,1.00,0.00,0.00,28.66284,4.0947,6.1700,1.0283,13.5300,2.2550,4.4814,0.7469,4.4814,0.2152613,0.4720398,0.1563495,0.1563495,24.18142,4.03024,0.8436505,0.1853249,0.5595205,0.2551546
42_Strl_inter_s_2_BNPP,42,Strl,Inter,2,Severe,16,6,1.00,0.00,0.00,19.50324,2.7862,2.1400,0.3567,7.4700,1.2450,4.9466,0.8244,4.9466,0.1097254,0.3830133,0.2536307,0.2536307,14.55662,2.42610,0.7463693,0.3398193,0.5131686,0.1470121
43_Strl_inter_s_3_BNPP,43,Strl,Inter,3,Severe,16,6,1.00,0.29,0.02,19.52878,2.7898,4.9100,0.8183,11.6200,1.9367,1.4994,0.2499,1.4994,0.2514238,0.5950192,0.0767785,0.0767785,18.02939,3.00490,0.9232215,0.0831637,0.6445032,0.2723331
44_Strl_inter_s_4_BNPP,44,Strl,Inter,4,Severe,16,6,1.00,0.11,0.08,21.29982,3.0428,3.3300,0.5550,9.0700,1.5117,4.4499,0.7417,4.4499,0.1563393,0.4258252,0.2089177,0.2089177,16.84991,2.80832,0.7910823,0.2640910,0.5382818,0.1976272
45_Strl_inter_s_5_BNPP,45,Strl,Inter,5,Severe,16,6,1.00,0.03,0.03,21.27116,3.0387,3.1700,0.5283,7.6000,1.2667,5.2506,0.8751,5.2506,0.1490281,0.3572913,0.2468403,0.2468403,16.02058,2.67010,0.7531597,0.3277397,0.4743898,0.1978705
46_Strl_mono_c_1_BNPP,46,Strl,Mono,1,Control,48,12,0.00,0.06,0.00,33.96000,2.8300,8.4500,0.7042,17.7300,1.4775,7.7800,0.6483,0.0000,0.2488221,0.5220848,0.2290931,0.0000000,33.96000,2.83000,1.0000000,0.2290931,0.5220848,0.2488221
47_Strl_mono_c_2_BNPP,47,Strl,Mono,2,Control,48,12,0.00,0.03,0.00,25.20734,2.1006,5.8200,0.4850,17.0400,1.4200,2.3473,0.1956,0.0000,0.2308851,0.6759936,0.0931213,0.0000000,25.20734,2.10061,1.0000000,0.0931213,0.6759936,0.2308851
48_Strl_mono_c_3_BNPP,48,Strl,Mono,3,Control,48,12,0.00,0.10,0.10,31.95119,2.6626,6.2000,0.5167,16.7700,1.3975,8.9812,0.7484,0.0000,0.1940460,0.5248631,0.2810909,0.0000000,31.95119,2.66260,1.0000000,0.2810909,0.5248631,0.1940460
49_Strl_mono_c_4_BNPP,49,Strl,Mono,4,Control,48,12,0.00,0.00,0.00,20.76985,1.7308,2.4000,0.2000,11.2200,0.9350,7.1499,0.5958,0.0000,0.1155521,0.5402061,0.3442418,0.0000000,20.76985,1.73082,1.0000000,0.3442418,0.5402061,0.1155521
50_Strl_mono_c_5_BNPP,50,Strl,Mono,5,Control,48,12,0.00,0.01,0.01,26.52623,2.2105,5.2500,0.4375,12.5600,1.0467,8.7162,0.7264,0.0000,0.1979173,0.4734936,0.3285891,0.0000000,26.52623,2.21052,1.0000000,0.3285891,0.4734936,0.1979173
51_Strl_mono_m_1_BNPP,51,Strl,Mono,1,Moderate,32,12,0.00,0.20,0.07,39.08611,3.2572,6.9200,0.5767,23.0000,1.9167,9.1661,0.7638,0.0000,0.1770450,0.5884443,0.2345107,0.0000000,39.08611,3.25718,1.0000000,0.2345107,0.5884443,0.1770450
52_Strl_mono_m_2_BNPP,52,Strl,Mono,2,Moderate,32,12,0.00,0.22,0.18,29.60461,2.4671,6.0900,0.5075,15.3000,1.2750,8.2146,0.6846,0.0000,0.2057112,0.5168114,0.2774774,0.0000000,29.60461,2.46705,1.0000000,0.2774774,0.5168114,0.2057112
53_Strl_mono_m_3_BNPP,53,Strl,Mono,3,Moderate,32,12,0.00,0.01,0.00,45.55691,3.7964,9.4100,0.7842,23.8000,1.9833,12.3469,1.0289,0.0000,0.2065548,0.5224235,0.2710217,0.0000000,45.55691,3.79641,1.0000000,0.2710217,0.5224235,0.2065548
54_Strl_mono_m_4_BNPP,54,Strl,Mono,4,Moderate,32,12,0.00,0.24,0.22,32.07857,2.6732,5.4000,0.4500,15.9500,1.3292,10.7286,0.8940,0.0000,0.1683367,0.4972167,0.3344466,0.0000000,32.07857,2.67321,1.0000000,0.3344466,0.4972167,0.1683367
55_Strl_mono_m_5_BNPP,55,Strl,Mono,5,Moderate,32,12,0.00,0.58,0.30,31.10343,2.5920,5.8000,0.4833,18.9900,1.5825,6.3134,0.5261,0.0000,0.1864746,0.6105436,0.2029818,0.0000000,31.10343,2.59195,1.0000000,0.2029818,0.6105436,0.1864746
56_Strl_mono_s_1_BNPP,56,Strl,Mono,1,Severe,16,12,0.00,0.01,0.00,20.27412,1.6895,4.1700,0.3475,10.7600,0.8967,5.3441,0.4453,0.0000,0.2056809,0.5307259,0.2635932,0.0000000,20.27412,1.68951,1.0000000,0.2635932,0.5307259,0.2056809
57_Strl_mono_s_2_BNPP,57,Strl,Mono,2,Severe,16,12,0.00,0.36,0.28,27.82993,2.3192,7.2900,0.6075,17.9600,1.4967,2.5799,0.2150,0.0000,0.2619482,0.6453484,0.0927034,0.0000000,27.82993,2.31916,1.0000000,0.0927034,0.6453484,0.2619482
58_Strl_mono_s_3_BNPP,58,Strl,Mono,3,Severe,16,12,0.00,0.07,0.07,18.98016,1.5817,3.9400,0.3283,9.8500,0.8208,5.1902,0.4325,0.0000,0.2075852,0.5189630,0.2734519,0.0000000,18.98016,1.58168,1.0000000,0.2734519,0.5189630,0.2075852
59_Strl_mono_s_4_BNPP,59,Strl,Mono,4,Severe,16,12,0.00,0.11,0.01,17.93165,1.4943,2.7600,0.2300,10.1600,0.8467,5.0117,0.4176,0.0000,0.1539178,0.5665959,0.2794863,0.0000000,17.93165,1.49430,1.0000000,0.2794863,0.5665959,0.1539178
60_Strl_mono_s_5_BNPP,60,Strl,Mono,5,Severe,16,12,0.00,0.14,0.06,18.25344,1.5211,2.5100,0.2092,10.1400,0.8450,5.6034,0.4670,0.0000,0.1375083,0.5555117,0.3069799,0.0000000,18.25344,1.52112,1.0000000,0.3069799,0.5555117,0.1375083
