Name,Pot,Inoculation,Polyculture,Water,Replicate,Biomass_g,Biomass_g_pp,Num_wheat_pot,Date_weighed
33_Strl_inter_c_3_b,33,Strl,Inter,Control,3,9.66360,1.61060,6.00000,10/2/2025
34_Strl_inter_c_4_b,34,Strl,Inter,Control,4,9.60534,1.60089,6.00000,10/2/2025
35_Strl_inter_c_5_b,35,Strl,Inter,Control,5,7.00765,1.16794,6.00000,10/2/2025
36_Strl_inter_m_1_b,36,Strl,Inter,Moderate,1,8.25587,1.37598,6.00000,10/2/2025
37_Strl_inter_m_2_b,37,Strl,Inter,Moderate,2,6.36912,1.06152,6.00000,10/2/2025
38_Strl_inter_m_3_b,38,Strl,Inter,Moderate,3,6.97937,1.16323,6.00000,10/2/2025
39_Strl_inter_m_4_b,39,Strl,Inter,Moderate,4,7.83799,1.30633,6.00000,10/2/2025
40_Strl_inter_m_5_b,40,Strl,Inter,Moderate,5,7.38511,1.23085,6.00000,10/2/2025
41_Strl_inter_s_1_b,41,Strl,Inter,Severe,1,4.48142,0.74690,6.00000,10/2/2025
42_Strl_inter_s_2_b,42,Strl,Inter,Severe,2,4.94662,0.82444,6.00000,10/2/2025
43_Strl_inter_s_3_b,43,Strl,Inter,Severe,3,1.49939,0.24990,6.00000,10/2/2025
44_Strl_inter_s_4_b,44,Strl,Inter,Severe,4,4.44991,0.74165,6.00000,10/2/2025
45_Strl_inter_s_5_b,45,Strl,Inter,Severe,5,5.25058,0.87510,6.00000,10/2/2025
46_Strl_mono_c_1_b,46,Strl,Mono,Control,1,7.78000,0.64833,12.00000,10/2/2025
47_Strl_mono_c_2_b,47,Strl,Mono,Control,2,2.34734,0.19561,12.00000,10/2/2025
48_Strl_mono_c_3_b,48,Strl,Mono,Control,3,8.98119,0.74843,12.00000,10/2/2025
49_Strl_mono_c_4_b,49,Strl,Mono,Control,4,7.14985,0.59582,12.00000,10/2/2025
50_Strl_mono_c_5_b,50,Strl,Mono,Control,5,8.71623,0.72635,12.00000,10/2/2025
51_Strl_mono_m_1_b,51,Strl,Mono,Moderate,1,9.16611,0.76384,12.00000,10/2/2025
52_Strl_mono_m_2_b,52,Strl,Mono,Moderate,2,8.21461,0.68455,12.00000,10/2/2025
53_Strl_mono_m_3_b,53,Strl,Mono,Moderate,3,12.34691,1.02891,12.00000,10/2/2025
54_Strl_mono_m_4_b,54,Strl,Mono,Moderate,4,10.72857,0.89405,12.00000,10/2/2025
55_Strl_mono_m_5_b,55,Strl,Mono,Moderate,5,6.31343,0.52612,12.00000,10/2/2025
56_Strl_mono_s_1_b,56,Strl,Mono,Severe,1,5.34412,0.44534,12.00000,10/2/2025
57_Strl_mono_s_2_b,57,Strl,Mono,Severe,2,2.57993,0.21499,12.00000,10/2/2025
58_Strl_mono_s_3_b,58,Strl,Mono,Severe,3,5.19016,0.43251,12.00000,10/2/2025
