Name,Pot,Inoculation,Polyculture,Replicate,Water,Water_gal,Num_wheat_pot,BNPP_g,BNPP_g_pp,ANPP_g,ANPP_g_pp,Berries_g,Berries_g_pp,NPP_g,NPP_g_pp,percent_BNPP,percent_ANPP,percent_berries
47_Strl_mono_c_2_BNPP,47,Strl,Mono,2,Control,48,12,5.82,0.49,17.04,1.42,2.34734,0.19561,25.20734,2.10,23.09,67.60,9.31
48_Strl_mono_c_3_BNPP,48,Strl,Mono,3,Control,48,12,6.2,0.52,16.77,1.40,8.98119,0.74843,31.95119,2.66,19.40,52.49,28.11
49_Strl_mono_c_4_BNPP,49,Strl,Mono,4,Control,48,12,2.4,0.20,11.22,0.94,7.14985,0.59582,20.76985,1.73,11.56,54.02,34.42
50_Strl_mono_c_5_BNPP,50,Strl,Mono,5,Control,48,12,5.25,0.44,12.56,1.05,8.71623,0.72635,26.52623,2.21,19.79,47.35,32.86
51_Strl_mono_m_1_BNPP,51,Strl,Mono,1,Moderate,32,12,6.92,0.58,23.00,1.92,9.16611,0.76384,39.08611,3.26,17.70,58.84,23.45
52_Strl_mono_m_2_BNPP,52,Strl,Mono,2,Moderate,32,12,6.09,0.51,15.30,1.28,8.21461,0.68455,29.60461,2.47,20.57,51.68,27.75
53_Strl_mono_m_3_BNPP,53,Strl,Mono,3,Moderate,32,12,9.41,0.78,23.80,1.98,12.34691,1.02891,45.55691,3.80,20.66,52.24,27.10
54_Strl_mono_m_4_BNPP,54,Strl,Mono,4,Moderate,32,12,5.4,0.45,15.95,1.33,10.72857,0.89405,32.07857,2.67,16.83,49.72,33.44
55_Strl_mono_m_5_BNPP,55,Strl,Mono,5,Moderate,32,12,5.8,0.48,18.99,1.58,6.31343,0.52612,31.10343,2.59,18.65,61.05,20.30
56_Strl_mono_s_1_BNPP,56,Strl,Mono,1,Severe,16,12,4.17,0.35,10.76,0.90,5.34412,0.44534,20.27412,1.69,20.57,53.07,26.36
57_Strl_mono_s_2_BNPP,57,Strl,Mono,2,Severe,16,12,7.29,0.61,17.96,1.50,2.57993,0.21499,27.82993,2.32,26.19,64.53,9.27
58_Strl_mono_s_3_BNPP,58,Strl,Mono,3,Severe,16,12,3.94,0.33,9.85,0.82,5.19016,0.43251,18.98016,1.58,20.76,51.90,27.35
59_Strl_mono_s_4_BNPP,59,Strl,Mono,4,Severe,16,12,2.76,0.23,10.16,0.85,5.01165,0.41764,17.93165,1.49,15.39,56.66,27.95
60_Strl_mono_s_5_BNPP,60,Strl,Mono,5,Severe,16,12,2.51,0.21,10.14,0.85,5.60344,0.46695,18.25344,1.52,13.75,55.55,30.70
